 Radioactive Decay Experiment Feb 12, 2024 4:06 PM
Sample Number	Number of Counts
1	1
2	1
3	0
4	0
5	0
6	0
7	1
8	2
9	0
10	1
11	2
12	0
13	1
14	1
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	2
24	0
25	0
26	1
27	0
28	0
29	0
30	2
31	0
32	2
33	1
34	0
35	0
36	0
37	1
38	1
39	0
40	0
41	0
42	0
43	0
44	2
45	1
46	0
47	1
48	0
49	0
50	1
51	2
52	0
53	1
54	3
55	1
56	0
57	0
58	0
59	0
60	0
61	2
62	3
63	1
64	1
65	1
66	0
67	1
68	1
69	0
70	0
71	0
72	1
73	0
74	1
75	0
76	0
77	2
78	1
79	0
80	0
81	0
82	0
83	1
84	0
85	1
86	0
87	3
88	2
89	0
90	1
91	0
92	0
93	2
94	2
95	0
96	1
97	0
98	0
99	1
100	0
101	1
102	0
103	0
104	1
105	0
106	0
107	2
108	0
109	2
110	0
111	0
112	1
113	1
114	0
115	0
116	2
117	0
118	0
119	1
120	1
121	0
122	0
123	0
124	2
125	0
126	0
127	0
128	0
129	0
130	1
131	2
132	1
133	0
134	1
135	0
136	2
137	0
138	0
139	0
140	0
141	1
142	0
143	0
144	0
145	0
146	1
147	1
148	0
149	0
150	1
151	1
152	0
153	0
154	0
155	1
156	1
157	1
158	0
159	0
160	0
161	1
162	0
163	0
164	0
165	0
166	0
167	3
168	1
169	0
170	0
171	1
172	0
173	1
174	0
175	0
176	0
177	0
178	3
179	1
180	1
181	0
182	2
183	0
184	0
185	1
186	1
187	0
188	0
189	0
190	0
191	0
192	1
193	1
194	2
195	0
196	2
197	0
198	1
199	0
200	1
201	1
202	0
203	0
204	0
205	0
206	0
207	1
208	0
209	0
210	0
211	0
212	0
213	1
214	0
215	0
216	1
217	0
218	0
219	1
220	0
221	0
222	0
223	1
224	0
225	0
226	0
227	1
228	1
229	2
230	1
231	2
232	0
233	0
234	2
235	1
236	0
237	0
238	0
239	2
240	0
241	1
242	1
243	0
244	1
245	0
246	2
247	0
248	0
249	0
250	0
251	2
252	0
253	1
254	0
255	1
256	1
257	0
258	0
259	0
260	0
261	0
262	2
263	0
264	1
265	1
266	0
267	0
268	0
269	1
270	0
271	0
272	1
273	0
274	0
275	2
276	0
277	0
278	0
279	1
280	0
281	0
282	0
283	0
284	1
285	1
286	1
287	1
288	1
289	0
290	1
291	0
292	2
293	0
294	0
295	0
296	1
297	0
298	2
299	2
300	0
301	0
302	2
303	1
304	1
305	0
306	2
307	2
308	2
309	1
310	0
311	0
312	0
313	0
314	1
315	0
316	1
317	1
318	0
319	0
320	0
321	0
322	1
323	1
324	0
325	1
326	0
327	1
328	0
329	1
330	0
331	0
332	0
333	2
334	0
335	0
336	2
337	0
338	1
339	0
340	0
341	1
342	1
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	2
352	2
353	0
354	0
355	1
356	1
357	1
358	0
359	1
360	0
361	1
362	0
363	0
364	0
365	0
366	0
367	1
368	2
369	0
370	0
371	2
372	1
373	3
374	1
375	1
376	1
377	0
378	1
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	1
387	0
388	0
389	0
390	2
391	0
392	0
393	1
394	0
395	0
396	2
397	0
398	3
399	2
400	1
