 Radioactive Decay Experiment Feb 12, 2024 4:32 PM
Sample Number	Number of Counts
1	43
2	29
3	47
4	45
5	38
6	39
7	35
8	46
9	43
10	38
11	36
12	34
13	39
14	51
15	40
16	38
17	29
18	36
19	51
20	43
21	41
22	43
23	45
24	59
25	45
26	42
27	21
28	47
29	50
30	39
31	54
32	40
33	40
34	41
35	34
36	48
37	41
38	39
39	46
40	34
41	33
42	46
43	42
44	37
45	30
46	45
47	35
48	52
49	36
50	43
51	39
52	32
53	46
54	43
55	36
56	43
57	38
58	38
59	43
60	39
61	54
62	41
63	44
64	54
65	33
66	42
67	30
68	43
69	38
70	47
71	37
72	32
73	39
74	35
75	42
76	43
77	40
78	40
79	39
80	37
81	28
82	18
83	39
84	48
85	42
86	35
87	42
88	40
89	41
90	34
91	39
92	37
93	30
94	42
95	42
96	42
97	49
98	38
99	44
100	38
101	34
102	33
103	50
104	36
105	39
106	36
107	37
108	36
109	41
110	47
111	49
112	37
113	57
114	34
115	32
116	41
117	39
118	38
119	30
120	31
121	57
122	48
123	38
124	43
125	46
126	40
127	38
128	38
129	38
130	42
131	42
132	37
133	32
134	49
135	39
136	40
137	35
138	41
139	54
140	45
141	42
142	42
143	41
144	51
145	49
146	41
147	34
148	34
149	48
150	38
151	46
152	34
153	41
154	31
155	54
156	35
157	57
158	38
159	37
160	46
161	46
162	45
163	36
164	30
165	35
166	40
167	42
168	54
169	46
170	35
171	29
172	48
173	43
174	45
175	38
176	49
177	39
178	35
179	28
180	40
181	43
182	38
183	41
184	38
185	48
186	38
187	34
188	51
189	32
190	37
191	36
192	47
193	29
194	43
195	42
196	31
197	42
198	38
199	41
200	35
201	37
202	41
203	32
204	45
205	30
206	46
207	40
208	47
209	29
210	33
211	43
212	33
213	32
214	37
215	34
216	34
217	43
218	38
219	36
220	42
221	35
222	36
223	44
224	43
225	47
226	61
227	49
228	35
229	37
230	56
231	33
232	39
233	38
234	38
235	40
236	40
237	40
238	33
239	44
240	42
241	31
242	49
243	38
244	47
245	41
246	47
247	35
248	35
249	44
250	56
251	32
252	46
253	39
254	37
255	54
256	35
257	40
258	33
259	45
260	39
261	37
262	35
263	49
264	43
265	33
266	45
267	28
268	38
269	40
270	45
271	39
272	34
273	33
274	40
275	40
276	47
277	47
278	38
279	49
280	54
281	31
282	32
283	40
284	38
285	45
286	41
287	40
288	43
289	34
290	47
291	43
292	55
293	47
294	36
295	52
296	32
297	31
298	35
299	30
300	39
301	41
302	31
303	41
304	40
305	43
306	39
307	36
308	32
309	40
310	36
311	57
312	41
313	41
314	48
315	49
316	33
317	32
318	44
319	40
320	49
321	33
322	29
323	48
324	51
325	29
326	49
327	36
328	40
329	42
330	43
331	44
332	29
333	39
334	51
335	37
336	30
337	56
338	52
339	31
340	38
341	35
342	26
343	39
344	41
345	49
346	43
347	36
348	28
349	39
350	46
351	30
352	52
353	37
354	40
355	47
356	34
357	31
358	40
359	28
360	43
361	28
362	31
363	42
364	43
365	35
366	35
367	44
368	43
369	30
370	55
371	38
372	36
373	36
374	37
375	34
376	42
377	43
378	37
379	31
380	24
381	40
382	47
383	42
384	36
385	37
386	53
387	37
388	34
389	49
390	36
391	44
392	36
393	47
394	38
395	49
396	39
397	41
398	31
399	38
400	33
