Interference and Diffraction Data File Mon, Mar 25, 2024 2:42 PM
Sensor Position (Meters)	Light Intensity (Volts)
0.00000	-0.00647
0.00000	-0.00727
0.00000	-0.00405
-0.00006	-0.00759
-0.00006	-0.00920
-0.00006	-0.00405
-0.00011	-0.00792
-0.00011	-0.00775
-0.00011	-0.00647
-0.00017	-0.00824
-0.00017	-0.00421
-0.00017	-0.00695
-0.00022	-0.00920
-0.00022	-0.00840
-0.00022	-0.00888
-0.00028	-0.00872
-0.00028	-0.00743
-0.00028	-0.00824
-0.00033	-0.00775
-0.00033	-0.00872
-0.00033	-0.00904
-0.00039	-0.01210
-0.00039	-0.00856
-0.00044	-0.00566
-0.00044	-0.00904
-0.00044	-0.01243
-0.00050	-0.00937
-0.00050	-0.00840
-0.00050	-0.00743
-0.00056	-0.00566
-0.00056	-0.00389
-0.00056	-0.00518
-0.00061	-0.00937
-0.00061	-0.00727
-0.00061	-0.00759
-0.00067	-0.00647
-0.00067	-0.01017
-0.00067	-0.00872
-0.00072	-0.00985
-0.00072	-0.00904
-0.00078	-0.00663
-0.00078	-0.00614
-0.00078	-0.00534
-0.00083	-0.00792
-0.00083	-0.00711
-0.00083	-0.00614
-0.00089	-0.00228
-0.00089	-0.00405
-0.00089	-0.00437
-0.00094	-0.00647
-0.00094	-0.00534
-0.00094	-0.00437
-0.00100	-0.00453
-0.00100	-0.00437
-0.00100	-0.00566
-0.00106	-0.00486
-0.00106	-0.00389
-0.00111	-0.00373
-0.00111	-0.00663
-0.00111	-0.00631
-0.00117	-0.00260
-0.00117	-0.00292
-0.00122	-0.00421
-0.00122	-0.00872
-0.00122	-0.00550
-0.00128	-0.00308
-0.00128	-0.00389
-0.00128	-0.00743
-0.00133	-0.00453
-0.00133	-0.00308
-0.00133	-0.00164
-0.00139	-0.00115
-0.00139	0.00014
-0.00144	-0.00904
-0.00144	-0.00598
-0.00144	-0.00389
-0.00150	-0.00453
-0.00150	-0.00808
-0.00150	-0.00711
-0.00156	-0.00775
-0.00156	-0.01065
-0.00156	-0.00502
-0.00161	-0.00502
-0.00161	-0.00631
-0.00161	-0.01210
-0.00167	-0.00824
-0.00167	-0.00276
-0.00167	-0.00470
-0.00172	-0.00775
-0.00172	-0.01162
-0.00172	-0.00937
-0.00178	-0.00405
-0.00178	-0.00727
-0.00178	-0.00534
-0.00183	-0.00937
-0.00183	-0.00808
-0.00183	-0.00647
-0.00189	-0.00775
-0.00189	-0.00695
-0.00189	-0.01355
-0.00194	-0.01210
-0.00194	-0.00631
-0.00194	-0.00566
-0.00200	-0.00920
-0.00200	-0.00663
-0.00200	-0.00711
-0.00206	-0.00840
-0.00206	-0.00953
-0.00206	-0.01081
-0.00211	-0.00840
-0.00211	-0.00792
-0.00217	-0.00904
-0.00217	-0.01001
-0.00217	-0.00920
-0.00222	-0.01162
-0.00222	-0.01049
-0.00222	-0.00775
-0.00228	-0.00679
-0.00228	-0.00824
-0.00228	-0.01146
-0.00233	-0.00953
-0.00233	-0.01081
-0.00239	-0.01162
-0.00239	-0.00937
-0.00239	-0.00727
-0.00244	-0.01339
-0.00244	-0.01033
-0.00244	-0.00486
-0.00250	-0.00840
-0.00250	-0.00888
-0.00250	-0.01033
-0.00256	-0.00647
-0.00256	-0.00260
-0.00256	-0.01114
-0.00261	-0.00695
-0.00261	-0.00743
-0.00261	-0.00598
-0.00267	-0.01049
-0.00267	-0.00647
-0.00267	-0.00614
-0.00267	-0.00985
-0.00272	-0.00953
-0.00272	-0.00888
-0.00272	-0.00389
-0.00278	-0.00937
-0.00278	-0.01323
-0.00283	-0.00904
-0.00283	-0.01275
-0.00283	-0.00679
-0.00289	-0.00470
-0.00289	-0.00920
-0.00289	-0.01017
-0.00294	-0.00775
-0.00294	-0.00631
-0.00294	-0.00872
-0.00300	-0.00695
-0.00300	-0.00969
-0.00306	-0.00808
-0.00306	-0.00856
-0.00306	-0.00759
-0.00311	-0.00953
-0.00311	-0.00872
-0.00311	-0.00405
-0.00317	-0.00550
-0.00317	-0.00775
-0.00317	-0.00985
-0.00322	-0.00502
-0.00322	-0.01001
-0.00322	-0.00647
-0.00328	-0.00711
-0.00328	-0.00679
-0.00328	-0.00937
-0.00333	-0.01017
-0.00333	-0.00920
-0.00339	-0.00937
-0.00339	-0.00969
-0.00339	-0.01210
-0.00344	-0.00743
-0.00344	-0.01081
-0.00344	-0.00663
-0.00344	-0.00985
-0.00350	-0.00953
-0.00350	-0.01017
-0.00350	-0.00566
-0.00356	-0.00743
-0.00356	-0.01178
-0.00356	-0.00743
-0.00361	-0.00502
-0.00361	-0.00856
-0.00367	-0.01049
-0.00367	-0.00775
-0.00367	-0.00534
-0.00372	-0.01098
-0.00372	-0.00695
-0.00372	-0.00856
-0.00378	-0.00969
-0.00378	-0.01275
-0.00378	-0.00470
-0.00383	-0.00808
-0.00383	-0.00775
-0.00389	-0.00470
-0.00389	-0.00534
-0.00389	-0.00486
-0.00394	-0.00598
-0.00394	-0.00582
-0.00394	-0.00341
-0.00400	-0.00373
-0.00400	-0.00276
-0.00400	-0.00695
-0.00406	-0.00598
-0.00406	-0.00470
-0.00406	-0.00518
-0.00411	-0.00325
-0.00411	-0.00566
-0.00411	-0.00405
-0.00417	-0.00099
-0.00417	-0.00228
-0.00417	-0.00453
-0.00422	-0.00566
-0.00422	-0.00647
-0.00422	-0.00260
-0.00428	-0.00357
-0.00428	-0.00582
-0.00428	-0.00631
-0.00433	-0.00308
-0.00433	-0.00260
-0.00433	-0.00695
-0.00439	-0.00614
-0.00439	-0.00904
-0.00439	-0.00341
-0.00444	-0.00357
-0.00444	-0.00647
-0.00444	-0.00888
-0.00450	-0.00759
-0.00450	-0.00453
-0.00456	-0.00453
-0.00456	-0.00792
-0.00456	-0.00856
-0.00461	-0.00856
-0.00461	-0.00920
-0.00461	-0.01033
-0.00467	-0.00679
-0.00467	-0.00695
-0.00467	-0.00566
-0.00472	-0.01033
-0.00472	-0.00904
-0.00472	-0.00598
-0.00478	-0.00711
-0.00478	-0.00582
-0.00478	-0.01017
-0.00483	-0.01226
-0.00483	-0.01210
-0.00489	-0.00421
-0.00489	-0.00502
-0.00489	-0.00566
-0.00494	-0.00647
-0.00494	-0.00679
-0.00494	-0.00582
-0.00500	-0.00856
-0.00500	-0.00711
-0.00500	-0.00357
-0.00506	-0.00792
-0.00506	-0.00711
-0.00506	-0.00808
-0.00511	-0.00341
-0.00511	-0.00244
-0.00511	-0.00775
-0.00517	-0.00518
-0.00517	-0.00647
-0.00517	-0.00308
-0.00522	-0.00759
-0.00522	-0.00502
-0.00522	-0.00131
-0.00528	-0.00083
-0.00528	-0.00389
-0.00528	-0.00727
-0.00533	-0.00647
-0.00533	-0.00292
-0.00539	-0.00357
-0.00539	-0.00421
-0.00539	-0.00711
-0.00544	-0.00389
