G-val,delta-g,delta-R,R,delta_g-uncert,delat_R_uncert,R_uncert
712.51,71.6428805,0,0,0.1,0,0
692.65,69.6459575,570.5,570.5,0.1,0.5,0.5
685.35,68.9119425,963,392.5,0.1,1.5,1
680.1,68.384055,1355,392,0.1,2,0.5
661,66.46355,1748.5,393.5,0.1,3,1
650.5,65.407775,2140.5,392,0.1,3.5,0.5
643.95,64.7491725,2533,392.5,0.1,4.5,1
631.95,63.5425725,2927.5,394.5,0.1,5.5,1
618.45,62.1851475,3320.5,393,0.1,6.5,1
607.2,61.05396,3715,394.5,0.1,7,0.5
595.45,59.8724975,4107.5,392.5,0.1,7.5,0.5
583.95,58.7161725,4501,393.5,0.1,8,0.5
572.5,57.564875,4894.5,393.5,0.1,8.5,0.5
560.3,56.338165,5288,393.5,0.1,9,0.5
